Quantity,VideoAmt,PhotoAmt,ColorAmt,Fee,Age,BreedName,BreedPure,ColorName,StateBins,AgeBins,Type,Breed1,Breed2,Color1,Color2,Color3,Gender,Vaccinated,Dewormed,Sterilized,MaturitySize,FurLength,Health,truncatedsvd0,truncatedsvd1,truncatedsvd2,truncatedsvd3,truncatedsvd4,truncatedsvd5,truncatedsvd6,truncatedsvd7,truncatedsvd8,truncatedsvd9,AdoptionSpeed
0.0,0.0,0.5,0.0,0.0,0.00392156862745098,4.0,0.0,5.0,0.0,0.0,1.0,141.0,307.0,7.0,0.0,0.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,0.20398548600602148,-0.07210393669725655,0.6189795655765318,-0.1321012606290236,-0.057597872036957404,0.04256737414679845,0.19050788319667092,-0.06596496975934042,-0.047303124184483514,-0.08245280873211328,3
0.4000000000000001,0.0,0.30000000000000004,1.0,0.0,0.023529411764705882,2.0,1.0,0.0,5.0,3.0,2.0,266.0,0.0,1.0,2.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05918480088927494,0.12789060209124015,-0.012806806572883406,-0.07579467995899959,0.1927124880814026,0.2029998527635143,-0.022315056162243534,0.03308915543557472,0.07094279460792301,-0.04677990238605122,4
0.0,0.0,0.4,0.5,0.0,0.00784313725490196,12.0,0.0,0.0,0.0,1.0,1.0,218.0,307.0,1.0,2.0,0.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,0.20144851268599398,-0.07634185471830471,0.6655028305175572,-0.13282027938235683,-0.05470834101314523,0.027060443742518977,0.2211028308681432,-0.0027351994600121887,0.05893106678973698,-0.05308794748178022,2
0.2,0.0,0.1,1.0,0.0,0.23529411764705882,6.0,0.0,0.0,5.0,6.0,2.0,252.0,299.0,1.0,6.0,7.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,0.31452152466233385,-0.07489987413790071,0.004314154205934721,-0.0352266110040563,0.07366557837022861,-0.009666914014029653,0.13518634574151653,0.020172840107290275,-0.07973418708881244,0.012415233000836759,4
0.0,0.0,0.30000000000000004,0.5,0.0,0.00392156862745098,2.0,1.0,0.0,0.0,0.0,2.0,266.0,0.0,1.0,7.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.18436221339836928,0.12042780779926476,-0.09487824772193601,-0.15238773450943377,0.03193496873190196,-0.10183084181881091,0.07946085227208012,-0.019031025272612585,0.07181613693317293,-0.041082956842643265,3
0.2,1.0,0.4,1.0,0.06666666666666667,0.011764705882352941,11.0,1.0,0.0,0.0,2.0,2.0,299.0,0.0,1.0,3.0,6.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,0.18423495849170377,0.11775248273565546,-0.03185158682783101,-0.08107726881811889,-0.058603644107220854,0.02512272514754643,-0.0439237364252001,-0.07023657165329232,-0.07444843907971181,-0.032535758680605785,4
0.0,0.0,0.1,0.0,0.006666666666666666,0.00784313725490196,5.0,0.0,5.0,1.0,1.0,1.0,307.0,0.0,7.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.15467033777963263,0.07468207094563553,0.18370399708317825,0.03474784364978281,0.09227186865605799,-0.11215801809632477,-0.11328968002029555,-0.12983773454791972,0.10529005560761914,0.14643275213974513,3
0.0,0.0,0.1,1.0,0.0,0.0196078431372549,6.0,0.0,0.0,5.0,2.0,2.0,288.0,266.0,1.0,6.0,7.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.1898440981255994,-0.026652190062854464,-0.051775541709336736,-0.05648733364176549,0.007195020843670526,-0.03447175974982475,0.08082739436296407,-0.07039076030496484,0.051038184066950876,-0.008167440181235554,2
0.0,0.0,0.2,0.5,0.0,0.011764705882352941,12.0,0.0,1.0,0.0,2.0,1.0,218.0,307.0,2.0,7.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.23584980401241454,-0.05029673724549218,0.09684547773467048,0.09073258635553673,-0.0103419899790602,0.07493424519313507,-0.14174611801825027,-0.042174307981631964,-0.21211426607832276,0.13412969014236648,2
1.0000000000000002,0.0,0.4,1.0,0.0,0.00392156862745098,2.0,1.0,1.0,5.0,0.0,2.0,266.0,266.0,2.0,3.0,7.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,0.18034791328553107,-0.028654916345776427,-0.07298495168928988,-0.2380163221577127,-0.24414301019314893,-0.009733099782975022,-0.14101004965026798,0.046228110680759577,0.25640331309183534,0.009426695529330738,1
